"tweet","date"
"Ngabuburit ya nonton my fuhrer","15/5/2020 00.00.00"
"GTA V trending? Can’t forget this Moment","15/5/2020 00.00.00"
"How to more cases than anybody in the world","15/5/2020 00.00.00"
"Bukannya physical distancing, malah brain distancing. Tambah jauh dari otak.","14/5/2020 00.00.00"
"Terimakasih Kalkukus 2, berkatmu aku baru ngeh maksudnya gradient descent","18/5/2020 00.00.00"
"Ngabuburit ya nonton my fuhrer","15/5/2020 00.00.00"
"GTA V trending? Can’t forget this Moment","15/5/2020 00.00.00"
"How to more cases than anybody in the world","15/5/2020 00.00.00"
"Bukannya physical distancing, malah brain distancing. Tambah jauh dari otak.","14/5/2020 00.00.00"
"Alhamdulillah... mabok","14/5/2020 00.00.00"
"We all know this feeling on launch day ","13/5/2020 00.00.00"
"Nerd song that sometimes entertain me","13/5/2020 00.00.00"
"Edisi kangen ITB mumpung dapet izin masuk buat ke lab","11/5/2020 00.00.00"
"Here’s a song for you… Sweet Chaos by DAY6
https://open.spotify.com/track/499qjESUqiZjlNI7XQhyLp?si=oIlf3cAxSpW327yyTBKmdQ…","11/5/2020 00.00.00"
"https://techgrabyte.com/googles-ai-design-computer-chips-in-6-hours/…","10/5/2020 00.00.00"
"Orang-orang twitter ni direpost instagram marah-marah tapi tiap hari ngerepost quora sama tiktok","9/5/2020 00.00.00"
"Integral lipat asik juga","10/5/2020 00.00.00"
"Inuyasha related project ""Hanyo no Yashahime"" TV anime has been announced!!!

SUNRISE is animating the series.
The anime is slated to premiere on Fall 2020.","9/5/2020 00.00.00"
"Me - Kim Jong Un is dead

Friend - How the fuck do you know?

Me -","25/4/2020 00.00.00"
"New Stanford CS229: Machine Learning lectures are now on YouTube: https://youtube.com/playlist?list=PLoROMvodv4rMiGQp3WXShtMGgzqpfVfbU…

CS229 is IMO one of (or THE) best general ML intro class. These are finally replacing the amazing but extremely low-quality lectures from 2008. Andrew doesn’t seem to have aged either!","26/4/2020 00.00.00"
"Ngomongin teori konspirasi corona sama orang yg percaya kalo bumi itu datar, I’m not a smart people, but please dude. Untung waktu ditawarin interview di channel nya, aku mundur. Alhamdulillah keputusan yg tepat","23/4/2020 00.00.00"
"Orang - orang kok pada suka telur setengah mateng ya","25/4/2020 00.00.00"
"Stop it lmao","25/4/2020 00.00.00"
"A journey through Ancient Greece ","24/4/2020 00.00.00"
"Jadi pengen dikasih minyak biar dapet uang xixixi","22/4/2020 00.00.00"
"Gif you can hear","4/4/2020 00.00.00"
"Never give up!

Voice: 
@Sydsnap
  
Music: Don't Lose Your Way -Instrumental- (Kill la Kill)
Original Dialogue: Shuzo Matsuoka","28/3/2020 00.00.00"
"Unpopular opinion https://id.quora.com/Mengapa-Presiden-Joko-Widodo-menolak-untuk-melakukan-lockdown/answer/Chris-Tumimomor?ch=2&share=6287fbcc&srid=t2MLB…","2/4/2020 00.00.00"
"Misandrisme dengan tameng feminisme","1/4/2020 00.00.00"
"Good to read

https://linkedin.com/pulse/covid-19-survival-analyses-a-lab/…","31/3/2020 00.00.00"
"https://arstechnica.com/science/2019/12/how-i-created-a-deepfake-of-mark-zuckerberg-and-star-treks-data/…","31/3/2020 00.00.00"
"Blm ada mcd dago pasti","31/3/2020 00.00.00"
"I like the sound of this man. I like his spirit of enterprise. The world needds more like him.","30/3/2020 00.00.00"
"The second one is winning","28/3/2020 00.00.00"
"Forgetting about an assignment that’s due and hearing someone else say “wait we had an assignment?” is one of the most comforting feelings","25/3/2020 00.00.00"
"","26/3/2020 00.00.00"
"Dedication 100 https://twitter.com/historylvrsclub/status/1242932017194508292…","26/3/2020 00.00.00"
"This year's GDC may have been postponed, but our devs still want to share their knowledge with the industry  Watch their recorded talks for free here!","25/3/2020 00.00.00"
